Hero,Ana,Anran,Ashe,Baptiste,Bastion,Brigitte,Cassidy,DVa,Domina,Doomfist,Echo,Emre,Freja,Genji,Hanzo,Hazard,Illari,Jetpack Cat,Junker Queen,Junkrat,Juno,Kiriko,Lifeweaver,Lúcio,Mauga,Mei,Mercy,Mizuki,Moira,Orisa,Pharah,Ramattra,Reaper,Reinhardt,Roadhog,Shion,Sierra,Sigma,Sojourn,Soldier 76,Sombra,Symmetra,Torbjörn,Tracer,Vendetta,Venture,Widowmaker,Winston,Wrecking Ball,Wuyang,Zarya,Zenyatta
Ana,0,-1,-1,1,1,0,0,-2,1,0,1,0,2,-1,-1,1,0,2,2,0,0,-2,-1,0,1,0,0,1,1,0,1,1,1,0,2,-1,0,0,0,0,0,0,0,-1,-1,-2,-1,-1,0,0,0,0
Anran,1,0,1,1,0,-1,-2,1,0,-1,0,0,0,2,1,-1,2,-1,0,-2,0,0,0,0,0,0,1,-1,-1,0,-1,0,-1,-1,-1,1,1,1,1,1,-1,1,-1,0,0,-1,1,-1,-1,1,1,1
Ashe,1,-1,0,1,1,1,1,-1,0,-1,2,0,1,-1,0,-1,-1,2,1,1,0,-1,1,-1,2,1,0,1,0,2,2,1,1,0,0,0,0,-1,0,1,-1,1,1,-1,-2,-1,-2,-1,-1,-1,1,0
Baptiste,-1,-1,-1,0,0,1,-1,0,1,1,1,-1,1,-1,-1,-1,0,2,0,0,0,0,1,-1,1,0,0,0,0,1,1,0,1,0,1,-1,0,1,0,-1,-1,0,0,-1,0,1,-1,0,-2,0,-1,0
Bastion,-1,0,-1,0,0,1,0,-2,1,1,1,-1,0,-2,-2,0,-1,2,1,-1,1,0,0,0,1,1,1,0,1,0,1,2,-1,2,1,0,-1,-2,-1,0,-1,1,1,-1,2,0,-2,3,0,-1,1,-1
Brigitte,0,1,-1,-1,-1,0,-1,0,-1,0,-2,-1,-1,0,-1,0,0,-1,0,-1,-1,0,0,-1,1,-1,-1,0,0,-1,-1,-1,1,0,-1,0,0,0,-1,-1,2,-1,-1,1,1,1,-1,0,1,-1,0,0
Cassidy,0,2,-1,1,0,1,0,-1,-1,2,2,-1,1,1,-1,0,-1,2,1,-1,1,0,0,0,1,0,-1,1,1,1,2,1,1,0,-1,1,0,0,-1,0,2,1,1,2,1,2,-2,0,1,0,-1,1
DVa,2,-1,1,0,2,-1,1,0,0,1,1,1,1,0,2,0,0,1,1,2,1,1,1,-2,0,-1,0,-1,0,0,1,-1,-1,-1,1,2,0,1,1,2,0,-2,1,0,1,0,-1,1,-1,1,-1,2
Domina,-1,0,0,-1,-1,1,1,0,0,1,0,0,1,1,0,1,1,-1,-1,1,-1,1,-1,0,-1,-1,-1,1,0,0,0,-1,-1,-1,1,0,-1,-1,-2,0,1,-1,0,0,0,0,1,1,1,0,1,-1
Doomfist,0,1,1,-1,-1,0,-2,-1,-1,0,-1,0,0,0,1,0,0,-1,-1,0,0,1,1,1,-1,0,1,-2,1,-2,-1,-1,-1,0,-2,1,0,0,1,2,-2,1,-1,0,1,1,2,1,0,1,-1,0
Echo,-1,0,-2,-1,-1,2,-2,-1,0,1,0,-2,-2,1,1,1,-2,-2,0,2,1,0,1,1,0,0,-1,1,0,1,1,1,1,1,1,-1,-1,1,0,-2,-1,2,1,-1,2,1,-1,1,-1,0,0,1
