map,map_type,map_slug,hero,role,winrate,pickrate
Antarctic Peninsula,Control,antarctic-peninsula,Anran,DPS,54.00,4.70
Antarctic Peninsula,Control,antarctic-peninsula,Ashe,DPS,46.30,6.20
Antarctic Peninsula,Control,antarctic-peninsula,Bastion,DPS,55.40,4.60
Antarctic Peninsula,Control,antarctic-peninsula,Cassidy,DPS,49.60,32.20
Antarctic Peninsula,Control,antarctic-peninsula,Echo,DPS,42.40,2.90
Antarctic Peninsula,Control,antarctic-peninsula,Emre,DPS,51.90,3.90
Antarctic Peninsula,Control,antarctic-peninsula,Freja,DPS,51.40,7.50
Antarctic Peninsula,Control,antarctic-peninsula,Genji,DPS,46.60,13.30
Antarctic Peninsula,Control,antarctic-peninsula,Hanzo,DPS,56.40,3.10
Antarctic Peninsula,Control,antarctic-peninsula,Junkrat,DPS,50.80,3.40
Antarctic Peninsula,Control,antarctic-peninsula,Mei,DPS,45.80,6.30
Antarctic Peninsula,Control,antarctic-peninsula,Pharah,DPS,46.00,4.90
Antarctic Peninsula,Control,antarctic-peninsula,Reaper,DPS,54.30,11.60
Antarctic Peninsula,Control,antarctic-peninsula,Shion,DPS,45.90,21.40
Antarctic Peninsula,Control,antarctic-peninsula,Sierra,DPS,48.90,1.20
Antarctic Peninsula,Control,antarctic-peninsula,Sojourn,DPS,45.30,20.00
Antarctic Peninsula,Control,antarctic-peninsula,Soldier: 76,DPS,47.00,11.70
Antarctic Peninsula,Control,antarctic-peninsula,Sombra,DPS,46.40,2.40
Antarctic Peninsula,Control,antarctic-peninsula,Symmetra,DPS,52.00,3.80
Antarctic Peninsula,Control,antarctic-peninsula,Torbjörn,DPS,62.10,4.10
Antarctic Peninsula,Control,antarctic-peninsula,Tracer,DPS,56.00,23.90
Antarctic Peninsula,Control,antarctic-peninsula,Vendetta,DPS,55.40,3.00
Antarctic Peninsula,Control,antarctic-peninsula,Venture,DPS,55.60,2.00
Antarctic Peninsula,Control,antarctic-peninsula,Widowmaker,DPS,52.60,1.60
Antarctic Peninsula,Control,antarctic-peninsula,D.Va,TANK,49.80,4.90
Antarctic Peninsula,Control,antarctic-peninsula,Domina,TANK,58.70,1.30
Antarctic Peninsula,Control,antarctic-peninsula,Doomfist,TANK,45.20,10.20
Antarctic Peninsula,Control,antarctic-peninsula,Hazard,TANK,51.40,8.60
Antarctic Peninsula,Control,antarctic-peninsula,Junker Queen,TANK,62.50,6.10
Antarctic Peninsula,Control,antarctic-peninsula,Mauga,TANK,49.10,9.20
Antarctic Peninsula,Control,antarctic-peninsula,Orisa,TANK,47.40,8.70
Antarctic Peninsula,Control,antarctic-peninsula,Ramattra,TANK,53.80,6.90
Antarctic Peninsula,Control,antarctic-peninsula,Reinhardt,TANK,48.40,6.80
Antarctic Peninsula,Control,antarctic-peninsula,Roadhog,TANK,50.00,6.90
Antarctic Peninsula,Control,antarctic-peninsula,Sigma,TANK,47.80,12.00
Antarctic Peninsula,Control,antarctic-peninsula,Winston,TANK,39.80,4.60
Antarctic Peninsula,Control,antarctic-peninsula,Wrecking Ball,TANK,43.20,5.80
Antarctic Peninsula,Control,antarctic-peninsula,Zarya,TANK,60.90,8.00
Antarctic Peninsula,Control,antarctic-peninsula,Ana,SUP,43.70,23.60
Antarctic Peninsula,Control,antarctic-peninsula,Baptiste,SUP,55.90,5.40
Antarctic Peninsula,Control,antarctic-peninsula,Brigitte,SUP,46.60,11.40
Antarctic Peninsula,Control,antarctic-peninsula,Illari,SUP,55.90,4.10
Antarctic Peninsula,Control,antarctic-peninsula,Jetpack Cat,SUP,51.60,10.80
Antarctic Peninsula,Control,antarctic-peninsula,Juno,SUP,47.50,16.30
Antarctic Peninsula,Control,antarctic-peninsula,Kiriko,SUP,51.60,55.90
Antarctic Peninsula,Control,antarctic-peninsula,Lifeweaver,SUP,53.60,4.00
Antarctic Peninsula,Control,antarctic-peninsula,Lúcio,SUP,51.70,14.40
Antarctic Peninsula,Control,antarctic-peninsula,Mercy,SUP,45.70,12.50
Antarctic Peninsula,Control,antarctic-peninsula,Mizuki,SUP,52.30,15.30
Antarctic Peninsula,Control,antarctic-peninsula,Moira,SUP,52.10,12.50
Antarctic Peninsula,Control,antarctic-peninsula,Wuyang,SUP,53.40,7.90
Antarctic Peninsula,Control,antarctic-peninsula,Zenyatta,SUP,51.50,5.90
Busan,Control,busan,Anran,DPS,52.00,3.20
Busan,Control,busan,Ashe,DPS,50.90,8.30
Busan,Control,busan,Bastion,DPS,53.10,3.70
Busan,Control,busan,Cassidy,DPS,49.60,25.50
Busan,Control,busan,Echo,DPS,39.90,2.50
Busan,Control,busan,Emre,DPS,59.30,4.80
Busan,Control,busan,Freja,DPS,53.30,8.30
Busan,Control,busan,Genji,DPS,44.50,12.80
Busan,Control,busan,Hanzo,DPS,51.70,2.90
Busan,Control,busan,Junkrat,DPS,43.50,2.30
Busan,Control,busan,Mei,DPS,49.20,4.40
Busan,Control,busan,Pharah,DPS,51.50,3.20
Busan,Control,busan,Reaper,DPS,52.80,11.90
Busan,Control,busan,Shion,DPS,48.80,17.40
Busan,Control,busan,Sierra,DPS,42.90,2.00
Busan,Control,busan,Sojourn,DPS,47.70,18.70
Busan,Control,busan,Soldier: 76,DPS,47.30,18.20
Busan,Control,busan,Sombra,DPS,44.40,3.40
Busan,Control,busan,Symmetra,DPS,58.00,3.00
Busan,Control,busan,Torbjörn,DPS,47.90,3.40
Busan,Control,busan,Tracer,DPS,52.90,26.30
Busan,Control,busan,Vendetta,DPS,47.80,2.90
Busan,Control,busan,Venture,DPS,64.80,1.40
Busan,Control,busan,Widowmaker,DPS,53.30,9.50
Busan,Control,busan,D.Va,TANK,42.80,4.70
Busan,Control,busan,Domina,TANK,55.70,1.20
Busan,Control,busan,Doomfist,TANK,44.30,10.00
Busan,Control,busan,Hazard,TANK,51.60,9.20
Busan,Control,busan,Junker Queen,TANK,51.60,5.50
Busan,Control,busan,Mauga,TANK,49.20,8.30
Busan,Control,busan,Orisa,TANK,51.80,5.90
Busan,Control,busan,Ramattra,TANK,54.30,5.30
Busan,Control,busan,Reinhardt,TANK,50.70,7.00
Busan,Control,busan,Roadhog,TANK,56.50,6.40
Busan,Control,busan,Sigma,TANK,49.50,10.40
Busan,Control,busan,Winston,TANK,47.60,9.00
Busan,Control,busan,Wrecking Ball,TANK,47.80,9.30
Busan,Control,busan,Zarya,TANK,54.40,7.90
Busan,Control,busan,Ana,SUP,45.60,28.60
Busan,Control,busan,Baptiste,SUP,51.20,5.80
Busan,Control,busan,Brigitte,SUP,52.50,13.80
Busan,Control,busan,Illari,SUP,56.10,6.60
Busan,Control,busan,Jetpack Cat,SUP,55.00,9.10
Busan,Control,busan,Juno,SUP,51.40,15.80
Busan,Control,busan,Kiriko,SUP,48.70,54.40
Busan,Control,busan,Lifeweaver,SUP,49.60,5.40
Busan,Control,busan,Lúcio,SUP,52.10,11.40
Busan,Control,busan,Mercy,SUP,42.80,12.50
Busan,Control,busan,Mizuki,SUP,48.10,12.50
Busan,Control,busan,Moira,SUP,51.90,10.90
Busan,Control,busan,Wuyang,SUP,54.20,8.00
Busan,Control,busan,Zenyatta,SUP,47.30,5.30
Ilios,Control,ilios,Anran,DPS,53.00,3.60
Ilios,Control,ilios,Ashe,DPS,53.90,6.40
Ilios,Control,ilios,Bastion,DPS,44.10,3.80
Ilios,Control,ilios,Cassidy,DPS,45.10,27.60
Ilios,Control,ilios,Echo,DPS,52.00,8.90
Ilios,Control,ilios,Emre,DPS,45.10,3.80
Ilios,Control,ilios,Freja,DPS,49.70,16.60
Ilios,Control,ilios,Genji,DPS,50.90,13.80
Ilios,Control,ilios,Hanzo,DPS,50.60,1.80
Ilios,Control,ilios,Junkrat,DPS,55.60,2.90
Ilios,Control,ilios,Mei,DPS,48.30,2.30
Ilios,Control,ilios,Pharah,DPS,58.30,7.30
Ilios,Control,ilios,Reaper,DPS,49.00,10.80
Ilios,Control,ilios,Shion,DPS,50.90,17.90
Ilios,Control,ilios,Sierra,DPS,45.90,1.40
Ilios,Control,ilios,Sojourn,DPS,50.60,11.90
Ilios,Control,ilios,Soldier: 76,DPS,50.60,9.10
Ilios,Control,ilios,Sombra,DPS,50.90,3.10
Ilios,Control,ilios,Symmetra,DPS,47.40,2.90
Ilios,Control,ilios,Torbjörn,DPS,40.90,4.10
Ilios,Control,ilios,Tracer,DPS,49.50,27.20
Ilios,Control,ilios,Vendetta,DPS,55.70,3.50
Ilios,Control,ilios,Venture,DPS,53.70,1.70
Ilios,Control,ilios,Widowmaker,DPS,52.20,7.70
Ilios,Control,ilios,D.Va,TANK,50.30,8.10
Ilios,Control,ilios,Domina,TANK,54.40,0.80
Ilios,Control,ilios,Doomfist,TANK,50.80,10.90
Ilios,Control,ilios,Hazard,TANK,56.80,12.50
Ilios,Control,ilios,Junker Queen,TANK,49.20,4.60
Ilios,Control,ilios,Mauga,TANK,44.00,7.60
Ilios,Control,ilios,Orisa,TANK,39.20,5.40
Ilios,Control,ilios,Ramattra,TANK,52.50,2.20
Ilios,Control,ilios,Reinhardt,TANK,39.90,5.30
Ilios,Control,ilios,Roadhog,TANK,52.00,9.20
Ilios,Control,ilios,Sigma,TANK,50.90,6.70
Ilios,Control,ilios,Winston,TANK,51.40,10.50
Ilios,Control,ilios,Wrecking Ball,TANK,51.20,10.60
Ilios,Control,ilios,Zarya,TANK,51.10,5.70
Ilios,Control,ilios,Ana,SUP,46.90,26.10
Ilios,Control,ilios,Baptiste,SUP,43.60,4.60
Ilios,Control,ilios,Brigitte,SUP,51.80,14.60
Ilios,Control,ilios,Illari,SUP,48.80,4.60
Ilios,Control,ilios,Jetpack Cat,SUP,56.30,13.90
Ilios,Control,ilios,Juno,SUP,50.90,16.20
Ilios,Control,ilios,Kiriko,SUP,47.10,52.90
Ilios,Control,ilios,Lifeweaver,SUP,43.10,5.20
Ilios,Control,ilios,Lúcio,SUP,51.70,16.60
Ilios,Control,ilios,Mercy,SUP,53.70,13.80
Ilios,Control,ilios,Mizuki,SUP,49.30,12.00
Ilios,Control,ilios,Moira,SUP,52.50,9.70
Ilios,Control,ilios,Wuyang,SUP,50.20,5.80
Ilios,Control,ilios,Zenyatta,SUP,48.20,3.90
Lijiang Tower,Control,lijiang-tower,Anran,DPS,46.70,3.90
Lijiang Tower,Control,lijiang-tower,Ashe,DPS,53.50,3.60
Lijiang Tower,Control,lijiang-tower,Bastion,DPS,46.30,3.90
Lijiang Tower,Control,lijiang-tower,Cassidy,DPS,46.70,31.10
Lijiang Tower,Control,lijiang-tower,Echo,DPS,47.70,5.50
Lijiang Tower,Control,lijiang-tower,Emre,DPS,46.60,2.60
Lijiang Tower,Control,lijiang-tower,Freja,DPS,48.60,9.70
Lijiang Tower,Control,lijiang-tower,Genji,DPS,51.40,11.40
Lijiang Tower,Control,lijiang-tower,Hanzo,DPS,53.60,3.30
Lijiang Tower,Control,lijiang-tower,Junkrat,DPS,53.90,4.20
Lijiang Tower,Control,lijiang-tower,Mei,DPS,45.30,5.10
Lijiang Tower,Control,lijiang-tower,Pharah,DPS,57.90,10.40
Lijiang Tower,Control,lijiang-tower,Reaper,DPS,52.70,11.80
Lijiang Tower,Control,lijiang-tower,Shion,DPS,51.00,18.10
Lijiang Tower,Control,lijiang-tower,Sierra,DPS,41.80,1.20
Lijiang Tower,Control,lijiang-tower,Sojourn,DPS,47.40,20.90
Lijiang Tower,Control,lijiang-tower,Soldier: 76,DPS,50.30,10.50
Lijiang Tower,Control,lijiang-tower,Sombra,DPS,43.90,1.90
Lijiang Tower,Control,lijiang-tower,Symmetra,DPS,53.00,6.10
Lijiang Tower,Control,lijiang-tower,Torbjörn,DPS,50.50,3.70
Lijiang Tower,Control,lijiang-tower,Tracer,DPS,50.30,22.30
Lijiang Tower,Control,lijiang-tower,Vendetta,DPS,57.70,3.70
Lijiang Tower,Control,lijiang-tower,Venture,DPS,48.80,2.00
Lijiang Tower,Control,lijiang-tower,Widowmaker,DPS,41.50,3.00
Lijiang Tower,Control,lijiang-tower,D.Va,TANK,44.00,4.20
Lijiang Tower,Control,lijiang-tower,Domina,TANK,53.50,1.50
Lijiang Tower,Control,lijiang-tower,Doomfist,TANK,50.00,11.10
Lijiang Tower,Control,lijiang-tower,Hazard,TANK,51.30,9.00
Lijiang Tower,Control,lijiang-tower,Junker Queen,TANK,55.90,6.10
Lijiang Tower,Control,lijiang-tower,Mauga,TANK,52.50,10.00
Lijiang Tower,Control,lijiang-tower,Orisa,TANK,48.80,9.30
Lijiang Tower,Control,lijiang-tower,Ramattra,TANK,55.40,6.40
Lijiang Tower,Control,lijiang-tower,Reinhardt,TANK,47.90,8.70
Lijiang Tower,Control,lijiang-tower,Roadhog,TANK,47.60,5.80
Lijiang Tower,Control,lijiang-tower,Sigma,TANK,49.50,7.80
Lijiang Tower,Control,lijiang-tower,Winston,TANK,46.20,3.60
Lijiang Tower,Control,lijiang-tower,Wrecking Ball,TANK,47.00,7.70
Lijiang Tower,Control,lijiang-tower,Zarya,TANK,50.20,8.90
Lijiang Tower,Control,lijiang-tower,Ana,SUP,47.40,22.20
Lijiang Tower,Control,lijiang-tower,Baptiste,SUP,41.50,4.80
Lijiang Tower,Control,lijiang-tower,Brigitte,SUP,50.90,11.20
Lijiang Tower,Control,lijiang-tower,Illari,SUP,48.80,4.60
Lijiang Tower,Control,lijiang-tower,Jetpack Cat,SUP,53.60,11.10
Lijiang Tower,Control,lijiang-tower,Juno,SUP,51.20,17.20
Lijiang Tower,Control,lijiang-tower,Kiriko,SUP,47.90,56.10
Lijiang Tower,Control,lijiang-tower,Lifeweaver,SUP,46.80,3.80
Lijiang Tower,Control,lijiang-tower,Lúcio,SUP,52.60,17.10
Lijiang Tower,Control,lijiang-tower,Mercy,SUP,50.50,13.30
Lijiang Tower,Control,lijiang-tower,Mizuki,SUP,52.50,14.10
Lijiang Tower,Control,lijiang-tower,Moira,SUP,50.20,11.50
Lijiang Tower,Control,lijiang-tower,Wuyang,SUP,50.10,7.70
Lijiang Tower,Control,lijiang-tower,Zenyatta,SUP,51.80,5.40
Nepal,Control,nepal,Anran,DPS,53.50,3.90
Nepal,Control,nepal,Ashe,DPS,55.50,7.10
Nepal,Control,nepal,Bastion,DPS,54.80,4.60
Nepal,Control,nepal,Cassidy,DPS,49.70,25.20
Nepal,Control,nepal,Echo,DPS,46.60,5.10
Nepal,Control,nepal,Emre,DPS,50.70,4.40
Nepal,Control,nepal,Freja,DPS,51.10,8.20
Nepal,Control,nepal,Genji,DPS,51.40,13.90
Nepal,Control,nepal,Hanzo,DPS,54.20,3.40
Nepal,Control,nepal,Junkrat,DPS,53.00,3.40
Nepal,Control,nepal,Mei,DPS,54.10,4.40
Nepal,Control,nepal,Pharah,DPS,53.60,7.40
Nepal,Control,nepal,Reaper,DPS,51.60,10.40
Nepal,Control,nepal,Shion,DPS,50.10,20.60
Nepal,Control,nepal,Sierra,DPS,36.90,1.40
Nepal,Control,nepal,Sojourn,DPS,45.10,20.70
Nepal,Control,nepal,Soldier: 76,DPS,49.10,12.80
Nepal,Control,nepal,Sombra,DPS,55.00,2.30
Nepal,Control,nepal,Symmetra,DPS,51.10,6.40
Nepal,Control,nepal,Torbjörn,DPS,48.10,4.50
Nepal,Control,nepal,Tracer,DPS,48.00,22.30
Nepal,Control,nepal,Vendetta,DPS,44.70,3.50
Nepal,Control,nepal,Venture,DPS,45.10,1.70
Nepal,Control,nepal,Widowmaker,DPS,45.80,2.40
Nepal,Control,nepal,D.Va,TANK,50.90,4.30
Nepal,Control,nepal,Domina,TANK,52.20,1.60
Nepal,Control,nepal,Doomfist,TANK,46.30,10.40
Nepal,Control,nepal,Hazard,TANK,58.40,9.60
Nepal,Control,nepal,Junker Queen,TANK,58.90,4.80
Nepal,Control,nepal,Mauga,TANK,44.70,8.50
Nepal,Control,nepal,Orisa,TANK,51.80,7.40
Nepal,Control,nepal,Ramattra,TANK,49.20,6.10
Nepal,Control,nepal,Reinhardt,TANK,50.10,8.70
Nepal,Control,nepal,Roadhog,TANK,51.30,6.60
Nepal,Control,nepal,Sigma,TANK,50.50,13.00
Nepal,Control,nepal,Winston,TANK,39.40,4.00
