Hero,Ana,Anran,Ashe,Baptiste,Bastion,Brigitte,Cassidy,DMon,DVa,Domina,Doomfist,Echo,Emre,Freja,Genji,Hanzo,Hazard,Illari,Jetpack Cat,Junker Queen,Junkrat,Juno,Kiriko,Lifeweaver,Lúcio,Mauga,Mei,Mercy,Mizuki,Moira,Orisa,Pharah,Ramattra,Reaper,Reinhardt,Roadhog,Shion,Sierra,Sigma,Sojourn,Soldier 76,Sombra,Symmetra,Torbjörn,Tracer,Vendetta,Venture,Widowmaker,Winston,Wrecking Ball,Wuyang,Zarya,Zenyatta
Ana,-11,0,1,-2,1,2,2,,1,2,2,2,1,1,2,1,2,0,2,1,2,0,-2,0,2,1,2,2,0,-2,1,2,1,1,2,0,0,1,2,1,2,1,1,0,1,-1,1,2,1,0,0,2,2
Anran,0,-11,2,1,0,1,2,,0,-2,1,0,2,0,-6,2,0,-1,0,1,0,0,1,0,1,1,-6,-1,1,1,1,0,-1,0,1,0,0,2,-1,2,2,-6,0,0,2,-6,-6,-6,2,0,1,1,1
Ashe,1,2,-11,1,-2,1,-6,,1,0,1,0,-6,0,2,-6,0,2,1,1,0,1,2,0,1,0,2,1,0,1,1,0,2,0,1,2,2,-6,1,-6,-6,2,0,-2,2,2,2,2,1,1,1,1,2
Baptiste,-2,0,-1,-11,-1,2,0,,0,-1,-1,-1,-1,-1,0,0,0,0,2,0,-1,0,-2,0,2,-1,-1,2,0,-2,-1,1,0,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,2
Bastion,1,0,-2,1,-11,0,-2,,0,1,2,0,-2,0,0,-2,1,1,0,-1,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,-2,1,-2,-2,0,0,-6,2,0,0,0,0,0,0,1,1
Brigitte,2,-1,0,2,-1,-11,-1,,0,-2,0,0,-1,-1,0,-2,-1,-8,-12,-2,-1,-8,2,-8,-12,0,-2,-12,-8,2,-1,0,0,0,-2,-1,-2,0,-2,-1,-1,-1,-2,-1,0,-2,0,-1,0,0,-8,-2,-12
Cassidy,2,2,-6,2,-2,2,-11,,2,2,2,0,-6,0,2,-6,2,2,2,2,0,2,2,2,2,1,2,2,2,2,2,0,1,0,2,1,2,-6,1,-6,-6,2,0,-2,2,2,2,2,2,2,2,1,1
DMon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DVa,0,0,1,1,1,2,1,,-11,0,0,2,0,2,0,1,-1,1,1,-1,1,1,-1,1,2,0,1,1,1,2,0,0,-1,1,-1,1,1,0,-1,2,0,1,0,2,1,1,1,-1,-1,0,2,0,0
Domina,1,-2,-1,0,1,0,1,,0,-11,0,-1,0,0,0,0,-1,0,-1,-2,0,0,0,0,1,-2,1,-1,1,1,1,1,0,0,-1,-1,-1,1,-1,0,1,0,0,1,0,0,1,0,-1,0,-1,-1,0
